,第一名,第二名,第三名,第四名,第五名,第六名,第七名,第八名,第九名,第十名,第十一名,第十二名,第十三名,第十四名,第十五名,第十六名,第十七名,第十八名,第十九名,第二十名
標題,小巷內的懷舊日本味，老爺爺的溫馨大阪燒！紅葉日式愛好燒,台北信義市府美食:HI5 Cafe好吃夏威夷蝦飯、家常料理，不限時咖啡館、推薦聊天聚餐開會,冠捷黃金脆皮肉圓│饒河夜市少人知道的脆皮肉圓，吃脆皮肉圓不用跑彰化啦！ 饒河夜市美食、台北脆皮肉圓,西門麵店．捷運西門町站｜西門町網紅麵店．蛋包滷肉飯大推．極脆涼麵檸檬香！,川畝園麵食館 平價好吃選擇多！推薦炒飯、牛肉捲餅、小籠湯包,"啾哇嘿喲 좋아해요 ｜來自韓文""喜歡你""｜忠孝復興韓式烤肉推薦、超狂韓式烤肉吃到飽，台北必吃韓國料理!",台北第一間～好吃的越南料理！清新店面有冷氣，越南王三重店,"延吉街消失十年的人氣麻辣鍋，重現八德路囉！辣上癮極品麻辣鴛鴦鍋,每人鍋底120元,鴨血豆腐無限吃到飽！台北八德路火鍋推薦,",道地日本濃厚味三上咖哩超人氣咖哩飯炸雞啤酒日等你來挑戰,胖肚肚平價燒烤吃到飽，肋眼、天使紅蝦是哪招？,包好吃碳烤鹽酥雞，姊妹聚會必點的美食,化妝台座位太可愛～咖啡館還有賣辣牛奶泡菜起司鍋和手工水餃！招金GABi,金穗坊西餐廳 – 慶泰大飯店│semi buffet CP值超高│螃蟹生魚片吃到飽,Out of office 不在辦公室 | 250坪超大咖啡廳！東區下午茶推薦,超人氣爆漿肉鬆芋泥吐司，滿樂鐵板吐司|台北必吃早餐,合點壽司がってん寿司｜捷運西湖站高人氣迴轉壽司,隱身公館商圈巷弄中狂掃IG版面的超人氣爆漿泡芙，邪惡爆棚甜點．人性空間泡芙,燒肉like 一個人吃燒烤也沒問題！燒肉like來自東京的人氣名店在台北京站,【萬華龍山寺美食】賴桑透抽蚵仔麵線 魔霸特餐七種好料一次滿足！便宜又大碗,百元美食特輯又來了！花少少錢就能吃到滿滿份量的高cp值日式料理!價錢平實但壽司表現一級棒!!
餐廳名稱,紅葉日式愛好燒,Hi5 Cafe,冠捷黃金脆皮肉圓,西門麵店,川畝園麵食館,啾哇嘿喲,越南王三重店,辣上癮 極品麻辣鴛鴦火鍋,三上咖哩,胖肚肚燒肉吃到飽,碳烤包好吃,招金GABi,金穗坊西餐廳 - 慶泰大飯店,Out of office 不在辦公室,滿樂鐵板吐司,合點壽司內湖店,人性空間泡芙,焼肉ライク 燒肉LIKE,賴桑透抽蚵仔麵線,千壽司平價日本料理
評級,4.2,4.6,4,4,4.2,3.9,無紀錄,4.7,4.3,4.4,3.5,4.8,3.5,4.7,3.5,4,無紀錄,無紀錄,無紀錄,3.6
美食所在區域,中正區,信義區,松山區,萬華區,大同區,松山區,三重區,松山區,大安區,松山區,中山區,永和區,中山區,信義區,中正區,內湖區,中正區,大同區,萬華區,永和區
產生日期,2019/05/07,2019/05/04,2019/05/06,2019/05/07,2019/05/09,2019/05/06,2019/05/05,2019/05/05,2019/05/07,2019/05/09,2019/05/10,2019/05/08,2019/05/07,2019/05/06,2019/05/06,2019/05/04,2019/05/10,2019/05/06,2019/05/10,2019/05/04
觀看人數,1539,1379,1046,1034,1331,813,1513,1176,850,1177,1738,1264,778,733,817,999,711,903,668,1375
收藏人數,106,99,82,83,73,50,51,60,75,52,47,55,39,58,50,56,59,46,50,40
推薦人數,5,4,0,2,3,1,4,0,2,5,3,1,0,3,1,2,1,6,4,4
多少人來過,28人來過,2人來過,5人來過,39人來過,6人來過,45人來過,1人來過,13人來過,22人來過,12人來過,15人來過,2人來過,1人來過,15人來過,12人來過,11人來過,無紀錄,9人來過,無紀錄,9人來過
多少篇食記,10篇食記,2篇食記,3篇食記,22篇食記,3篇食記,27篇食記,1篇食記,7篇食記,19篇食記,5篇食記,4篇食記,2篇食記,1篇食記,11篇食記,9篇食記,9篇食記,無紀錄,7篇食記,無紀錄,5篇食記
