,標題,餐廳名稱,評級,美食所在區域,產生日期,觀看人數,收藏人數,推薦人數,多少人來過,多少篇食記
第一名,王品集團最新品牌！懷舊料理說歷史，經典台菜大集合！丰禾日麗台式小館,丰禾日麗 台北南京東店,4.6,中山區,2019/05/01,1577,87,3,9人來過,5篇食記
第二名,原創花雕雞 一鍋三種吃法 酒香味濃 真材實料 熱炒也很好吃 喜愛重口味的好選擇,原創花雕雞,4.2,松山區,2019/04/29,1776,91,2,12人來過,12篇食記
第三名,Lady nara 台北統一時代店，全球海外首店開幕嘍！信義區新網美餐廳,Lady nara 台北統一時代店,4,信義區,2019/04/30,1505,70,6,6人來過,4篇食記
第四名,台北中山 川渝小吃坊 重慶酸辣粉+口水雞開胃爽口 ,川渝小吃坊,4.4,大同區,2019/04/30,893,92,5,10人來過,5篇食記
第五名,台北美食mumi cafe｜約姐妹一起來烤吐司的韓系咖啡館,mumi cafe,無紀錄,大安區,2019/04/28,898,63,1,6人來過,4篇食記
第六名,"黃亞細肉骨茶台灣二號店~新加坡正宗肉骨茶名店,白胡椒湯頭香郁,潮州特色滷水美味！",黃亞細肉骨茶,無紀錄,中山區,2019/04/27,1835,51,2,5人來過,4篇食記
第七名,台北小旺仔宜蘭蛋餅｜新口感！鋪了滿滿好料的香酥宜蘭蛋餅(景美夜市人氣美食),小旺仔宜蘭蛋餅,4.4,文山區,2019/04/30,1670,55,1,2人來過,2篇食記
第八名,浮誇又霸氣的料理/超平價無菜單竟然有鮮甜海膽 「東街日本料理」南京復興站/高cp值無菜單料理/生魚片/牛小排/石斑/比目魚/大明蝦/附菜單,東街日本料理,4.2,中山區,2019/05/03,1340,60,3,29人來過,22篇食記
第九名,噴汁雞腿可外送，99元大份量漢堡就在IA Captain 國際機長,IA Captain國際機長,3.9,松山區,2019/04/27,1130,66,13,53人來過,15篇食記
第十名,BFF Gossip Brunch-台北公館網美最愛餐廳，姊妹聚會最佳選擇,#BFF Gossip Brunch 早午餐,4.1,中正區,2019/05/01,997,74,6,4人來過,3篇食記
第十一名,烏石水產火鍋超市 自助吧吃到飽59元！火烤兩吃滿額再送哈根達斯冰淇淋,烏石水產火鍋超市(烤)-三創店,5,中山區,2019/05/02,1097,43,1,3人來過,2篇食記
第十二名, 漂丿燒肉食堂～肉多到你喊怕！豐盛雙拼與震撼戰斧丼飯，還有超值商業午餐,漂丿燒肉食堂,4.1,大安區,2019/04/30,884,57,4,67人來過,38篇食記
第十三名,樂越phofun 越式河粉專門，吃一口就被圈粉的超澎湃道地河粉，還可以隨自己喜好加油添醋,樂越PhoFun台北慶城街1號店,4.6,松山區,2019/05/01,891,67,0,1人來過,1篇食記
第十四名,福來舖～30餘種中藥材層層調製低溫拌炒，加上大骨燉煮出香醇濃郁、麻而不辣的絕頂湯底！芝山美食推薦/天母麻辣鍋推薦,福來舖 麻辣個人鍋,4.7,士林區,2019/04/29,1175,51,3,8人來過,6篇食記
第十五名,【新北  港龘港式飲茶】歐式自助百匯(泰山店)。平日中午365元吃到飽/附設停車場,港龘港式飲茶歐式自助百匯 泰山店,3.7,泰山區,2019/05/01,786,43,3,1人來過,1篇食記
第十六名,波記香港茶餐廳｜16年老店屹立不搖~老店新開重現經典港式美味｜東區必訪港式茶餐廳,波記茶餐廳,3.8,大安區,2019/04/30,811,54,1,44人來過,20篇食記
第十七名,台北中山-良粟商號 好吃炭燒肉蛋吐司、雞腿排蛋、菇菇蛋，連日本觀光客都愛！,良粟 朝食午膳,3.9,中山區,2019/04/30,627,59,2,35人來過,14篇食記
第十八名,兩餐두끼 韓國年糕火鍋吃到飽│忠孝復興站,兩餐韓國年糕火鍋-忠孝店,3.6,大安區,2019/04/28,605,31,2,14人來過,7篇食記
第十九名,Sugar Pea|火紅IG夢幻雪白玻璃屋/出乎意料的美味早午餐下午茶！,Sugar Pea,4.4,大安區,2019/04/27,807,57,2,23人來過,12篇食記
第二十名,台北泰式料理推薦，泰新潮！泰式法國麵包、熱壓吐司！？泰式料理新吃法！泰之霸Pretty Thai,Pretty Thai 泰之霸,4.6,大安區,2019/04/29,758,50,1,4人來過,2篇食記
