,第一名,第二名,第三名,第四名,第五名,第六名,第七名,第八名,第九名,第十名,第十一名,第十二名,第十三名,第十四名,第十五名,第十六名,第十七名,第十八名,第十九名,第二十名
標題,台北美食面對面｜來自馬來西亞風味小吃台北1號店新開幕,台北 mumi cafe｜咖啡館裡我們一起烤吐司。,中永和排隊早餐名店，上班遲到都要買！超豐滿爆料三明治！EVERYDAY CAFE-永和頂溪店,男子漢開的早餐店，漢堡霸氣夾入雙肉排外還下麵給你吃！男子漢早餐店,台北美食 | 松青潤餅。2019米其林必比登 還沒開攤人潮延伸五個店面長，一個銅板飽吃米其林！(小南門站),士林文青飯糰，超重量級大飯糰，給你滿滿8小時的續航力！畝丘飯糰,TAEBAK大發，發現平價韓國炸雞飯/韓國料理/小菜免費續加,雄記蔥抓餅，台北米其林必比登推薦，一開攤就現排隊潮，營業時間到凌晨12點半，公館宵夜美食推薦!!,傳統低調的麵包店，藏著牛排店大家最愛的的副餐奶油餐包，一次一大包不用再爭搶．大不同餐包,まるみち丸道燒肉 台北店｜道地日本燒肉店開來台灣囉!忠孝敦化燒肉推薦!,蔬菜吃到飽燒肉-生菜包肉-綾aya/中山美食/中山燒肉,【台北港式飲茶吃到飽】故宮晶華 超過50道粵菜熱炒、港式點心無限吃推薦,玖佰號 韓式五花肉烤肉+平價火鍋｜寶興街美食、韓式烤肉200元吃超飽、無低消免服務費｜附玖佰號菜單,五華街好吃雞肉飯 平價雞肉一盤只要55元！在地人推薦從小吃到大,來自日本神戶的超人氣甜點店 KOBE SWEETS CAFE 神戶果實 微風南山排隊美食 草莓季 草莓捲 信義區甜點,"西螺麻糬大王台北西門店 -西門町散步逛街必買美食,素食者也可以吃",灶頂原汁排骨湯、高麗菜飯 ｜2019米其林必比登推介｜台北大同區・延三夜市,天母美食推薦|岳家小館 士東市場美食 超大餛飩好滿足,勝男家牛肉豚骨拉麵-澳門紅回台灣激推麻辣牛肉麵 /海山捷運站 /土城牛肉麵,"悅品飲茶 Yuepin Dim Sum,景觀最美的港式飲茶餐廳(菜單)"
餐廳名稱,面對面 Face to Face Noodle House,mumi cafe,EVERYDAY CAFE肉蛋吐司,男子漢早餐店,松青潤餅,畝丘飯糰 Mucho Be One,TaeBak 韓式特色料理 南京店,雄記蔥抓餅,大不同餐包,まるみち丸道燒肉台北店,燒肉 生菜包肉綾AYA,故宮晶華,玖佰號,五華街好吃雞肉飯,KOBE SWEETS CAFE,西螺麻糬大王 台北西門店,"原汁排骨湯,高麗菜飯",岳家小館,勝男家牛肉豚骨拉麵,悅品飲茶 Yuepin Dim Sum
評級,4.5,無紀錄,4.3,無紀錄,4.4,4.8,4.2,4.6,3.7,4.3,4.8,4.1,4.2,3.5,4,無紀錄,4.2,4.4,無紀錄,無紀錄
美食所在區域,中山區,大安區,永和區,板橋區,中正區,士林區,中山區,中正區,三重區,大安區,中山區,士林區,萬華區,三重區,信義區,萬華區,大同區,士林區,土城區,信義區
產生日期,2019/04/07,2019/04/12,2019/04/06,2019/04/09,2019/04/08,2019/04/10,2019/04/08,2019/04/11,2019/04/12,2019/04/12,2019/04/08,2019/04/11,2019/04/09,2019/04/12,2019/04/08,2019/04/11,2019/04/10,2019/04/07,2019/04/09,2019/04/06
觀看人數,3685,2123,2199,2173,2214,1870,1869,1640,3144,1478,1455,1760,931,2143,1727,931,1366,748,998,1501
收藏人數,298,204,127,123,123,119,128,101,74,78,96,69,76,91,75,74,76,85,62,53
推薦人數,8,5,4,6,4,6,6,4,1,4,2,4,4,4,4,4,2,3,2,2
多少人來過,4人來過,3人來過,5人來過,1人來過,5人來過,2人來過,9人來過,3人來過,2人來過,12人來過,3人來過,21人來過,31人來過,21人來過,8人來過,3人來過,21人來過,10人來過,2人來過,2人來過
多少篇食記,2篇食記,2篇食記,3篇食記,1篇食記,2篇食記,1篇食記,5篇食記,2篇食記,1篇食記,7篇食記,3篇食記,16篇食記,8篇食記,6篇食記,5篇食記,2篇食記,15篇食記,7篇食記,2篇食記,2篇食記
